EmployeeCode,DateofJoin,DateOfRelieving,AttritionMonth,ExperienceInAGS,Experience.Range,EmployeeAge,Gender,MaritalStatus,Shift,WorkFacility,WorkLocation,JobRole,Designation,ExperienceType,LastReviewType,LastReviewDate,LastReviewRating,LastButOneReviewType,LastButOneReviewDate,LastButOneReviewRating,ProdAvgDuringNotice,QualAvgDuringNotice,ProdAvgBeforeNotice,QualAvgBeforeNotice,ProdAvgDuringNoticeRange,QualAvgDuringNoticeRange,ProdAvgBeforeNoticeRange,QualAvgBeforeNoticeRange,Course,Last30DaysLeaveCount,TotalExtraHoursWorked,Function,Shift_Name,Rating Bracket,TransportMode,Distance,TravelTimeRange,TravelTime,Availability_Filter,Available,Involuntary Exit,Voluntary Exit,VolInVol Attrition,Attrition,ExitType,ReasonofLeaving,RptEmployeeName,RptEmployeeCode,Rpt2EmployeeCode,DateofBirth,PrevShift,PrevWorkFacility,PrevWorkLocation,CurrentAddressCity,CurrentAddressPincode,PermenantAddressCity,PermenantAddressPincode,RptEffectiveFrom,RptSpanofControl,Process,Client,SubClient,ProjectEffectiveFrom,PrevVertical,PrevProcess,PrevClient,PrevSubClient,PrevEmployer,EngagementIndex,StaffingEmployeeStatus,Vertical,Department,DepartmentGroup
R00218,7/12/2011,,,65, Month 60 <,33,Male,Married,12:00PM-09:00PM,Prince Infocity,Chennai,Team Leader,Team Leader,Lateral,Annually,7/29/2015,3.9,Annually,7/29/2015,3.9,33.33,66,100,95.51,< 80%,< 90%,095 - 100 %,095 - 098 %,BSc,2.5,0,Voice,Day,B,Two Wheeler,,,0,Current Employee,1,0,0,0,0,,,surendar.dayalan,R00542,R02855,12/13/1983,12:00PM-09:00PM,NMR,Chennai,Chennai,600095,Chennai,600095,11/13/2014,,AR Follow Up,Rural Metro,Rural Metro,1/2/2015,,,,,IHS,Green,TTL&Above,Accounts Receivable,Revenue Cycle Management,Operations
R00238,7/12/2011,,,65, Month 60 <,33,Male,Married,08:00AM-05:00PM,Prince Infocity,Chennai,Team Member,Process Associate - Level 2,Lateral,Annually,7/25/2016,3.52,Annually,7/25/2016,3.52,101.02,93.06,101.85,96.72,100 - 110 %,090 - 095 %,100 - 110 %,095 - 098 %,BA/Bcom/BPharm,2,13,Non-Voice,Day,B +,Train,,,0,Current Employee,1,0,0,0,0,,,prakash.gandhi,R00566,R00041,4/10/1983,,Tidel 8th,Chennai,Chennai,600035,Chennai,600035,5/18/2015,,AR Follow Up,NMBS,APM,1/1/2015,,,,,OMEGA,Green,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R00239,7/12/2011,,,65, Month 60 <,32,Male,UnMarried,10:00AM-07:00PM,Prince Infocity,Chennai,Team Member,Quality Analyst - Level 1,Lateral,Annually,7/25/2016,4.01,Annually,7/25/2016,4.01,114.9,100,107.42,100,110% +,098 - 100 %,100 - 110 %,098 - 100 %,BA/Bcom/BPharm,0,7,Non-Voice,Day,A,Two Wheeler,,,0,Current Employee,1,0,0,0,0,,,Manikasankar.Ambalam,R00808,R00014,8/17/1984,08:00PM-05:00AM,Tidel 5th,Chennai,Chennai,600042,Chennai,600042,6/13/2016,,AR Follow Up,HPP,HPP,9/15/2016,AR,AR Follow Up,McKesson,USAP,ANSAR BASHA,Green,QA,Accounts Receivable,Revenue Cycle Management,Operations
R00240,7/12/2011,,,65, Month 60 <,27,Female,Married,12:00PM-09:00PM,Prince Infocity,Chennai,Team Leader,Team Leader,Lateral,Half-Yearly,8/3/2012,4.12,Half-Yearly,8/3/2012,4.12,120.69,99.26,114.72,99.18,110% +,098 - 100 %,110% +,098 - 100 %,MA/Mcom,2,0,Non-Voice,Day,A,Others,,,0,Current Employee,1,0,0,0,0,,,vinodh.balakrishnan,R00404,R00401,5/15/1989,11:00AM-08:00PM,Tidel 8th,Chennai,Kancheepuram,603110,Kancheepuram,603110,11/10/2016,,AR Follow Up,SG,SG,7/27/2016,Billing / Transmission,Front End Process,SG,SG,ANITHA,Green,TTL&Above,Accounts Receivable,Revenue Cycle Management,Operations
R00245,7/13/2011,,,65, Month 60 <,40,Male,Married,08:00AM-05:00PM,NMR,Chennai,Team Member,Process Associate - Level 2,Lateral,Annually,7/15/2016,3.66,Annually,7/15/2016,3.66,131.46,98.55,128.47,98.91,110% +,098 - 100 %,110% +,098 - 100 %,BA/Bcom/BPharm,0,19,Non-Voice,Day,B +,Bus,,,0,Current Employee,1,0,0,0,0,,,gnanamani.gnanasekaran,R00570,R03640,5/11/1976,10:00AM-07:00PM,NMR,Chennai,Chennai,600073,Vellore,607103,3/22/2016,,Denials,MSOC,MSOC,11/16/2016,AR,AR Follow Up,MSOC,MSOC,,Green,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R00247,7/13/2011,,,65, Month 60 <,33,Male,Married,01:00PM-10:00PM,Prince Infocity,Chennai,Team Member,Process Associate - Level 2,Lateral,Annually,7/14/2016,4.4,Annually,7/14/2016,4.4,121.96,99.22,138.4,100,110% +,098 - 100 %,110% +,098 - 100 %,BCA/BBA,1,4,Non-Voice,Day,A,Cab,,,0,Current Employee,1,0,0,0,0,,,Parthiban.Boopathi,R00802,R00218,6/8/1983,04:00PM-01:00AM(Day),Tidel 5th,Chennai,Chennai,600114,Tiruvallur,602021,11/3/2016,,AR Follow Up,RTI,RTI,9/7/2016,TP,Payment Posting,McKesson,SJPE,Thiyagarajan,Green,Ramp,Accounts Receivable,Revenue Cycle Management,Operations
R00256,7/18/2011,,,65, Month 60 <,34,Male,Married,12:00PM-09:00PM,Prince Infocity,Chennai,Team Member,Process Associate - Level 2,Lateral,Annually,7/18/2016,4.06,Annually,7/18/2016,4.06,106.5,98.5,67.38,99.67,100 - 110 %,098 - 100 %,< 80%,098 - 100 %,HSC,1.5,83,Non-Voice,Day,A,Train,,,0,Current Employee,1,0,0,0,0,,,gnanasekaran.srinivasan,R00218,R00542,12/15/1982,10:00AM-07:00PM,Prince Infocity,Chennai,Chennai,600052,Chennai,600052,8/21/2015,,AR Follow Up,RTI,RTI,5/26/2016,AR,AR Follow Up,Rural Metro,Rural Metro,L cube innovative solutions pvt ltd,Green,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R00273,7/21/2011,,,65, Month 60 <,27,Male,UnMarried,01:00PM-10:00PM,NMR,Chennai,Team Member,Process Associate - Level 2,Lateral,Annually,7/15/2016,3.91,Annually,7/15/2016,3.91,118.85,98.54,125.41,96.69,110% +,098 - 100 %,110% +,095 - 098 %,BCA/BBA,1,0,Non-Voice,Day,B +,Others,,,0,Current Employee,1,0,0,0,0,,,Suganya.Rajagopal,R01698,R00373,1/7/1989,08:00AM-05:00PM,NMR,Chennai,Chennai,600106,Chennai,600106,10/3/2014,,AR Follow Up,McKesson,PROCARE,1/1/2015,,,,,Omaha healthcare,Green,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R00276,7/21/2011,,,65, Month 60 <,31,Male,Married,04:00PM-01:00AM,Prince Infocity,Chennai,Team Member,Process Associate - Level 2,Lateral,Annually,7/12/2016,4.01,Annually,7/12/2016,4.01,110.99,98.95,113.29,99.76,110% +,098 - 100 %,110% +,098 - 100 %,BSc,3,11,Non-Voice,Day,A,Cab,,,0,Current Employee,1,0,0,0,0,,,Parthiban.Boopathi,R00802,R00218,6/19/1985,06:00PM-03:00AM(Day),Prince Infocity,Chennai,Chennai,600094,Salem,637211,11/3/2016,,AR Follow Up,RTI,RTI,9/7/2016,TP,Payment Posting,McKesson,PROCARE,Omega Health care,Green,Ramp,Accounts Receivable,Revenue Cycle Management,Operations
R00278,7/22/2011,,,65, Month 60 <,31,Male,Married,08:00AM-05:00PM,NMR,Chennai,Team Member,Process Associate - Level 2,Lateral,Annually,7/25/2016,3.92,Annually,7/25/2016,3.92,107.41,98.99,136.45,91.26,100 - 110 %,098 - 100 %,110% +,090 - 095 %,BSc,2,0,Non-Voice,Day,B +,Bus,,,0,Current Employee,1,0,0,0,0,,,Parthiban.Boopathi,R00802,R00218,4/3/1985,06:00PM-03:00AM,Tidel 5th,Chennai,Chennai,600116,Chennai,600116,11/3/2016,,AR Follow Up,RTI,RTI,9/7/2016,TP,Payment Posting,HPP,HPP,MOHANDAS,Amber,Ramp,Accounts Receivable,Revenue Cycle Management,Operations
R00280,7/25/2011,,,64, Month 60 <,29,Male,UnMarried,06:00PM-03:00AM,Prince Infocity,Chennai,Team Leader,Team Leader,Lateral,Half-Yearly,7/31/2012,4.01,Half-Yearly,7/31/2012,4.01,121.3,98,130.67,98,110% +,095 - 098 %,110% +,095 - 098 %,NA,1,0,Non-Voice,Night,A,Bus,,,0,Current Employee,1,0,0,0,0,,,sathishkumar.raman,R00511,R00014,11/19/1987,06:30PM-03:30AM,NMR,Chennai,Chennai,600021,Chennai,600021,5/26/2014,,AR Follow Up,AGS,AGS,4/17/2015,,,,,Ajuba solution,Green,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R00304,7/29/2011,,,64, Month 60 <,32,Male,Married,06:00PM-03:00AM,NMR,Chennai,Team Member,Process Associate - Level 2,Lateral,Annually,7/14/2016,4.56,Annually,7/14/2016,4.56,111.18,100,130.55,100,110% +,098 - 100 %,110% +,098 - 100 %,HSC,0,0,Non-Voice,Night,A +,Train,,,0,Current Employee,1,0,0,0,0,,,Prabu.Gireedharan,R01397,R00373,6/2/1984,04:00PM-01:00AM,NMR,Chennai,Chennai,600100,Tirunelveli,627005,6/25/2015,,AR Follow Up,McKesson,Akron,8/5/2015,AR,AR Follow Up,McKesson,First Care,Ajuba Solutions India Pvt Ltd,Green,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R00309,8/1/2011,7/21/2016,2016-07,61, Month 60 <,33,Male,Married,06:00PM-03:00AM,NMR,Chennai,Team Member,Process Associate - Level 2,Lateral,Half-Yearly,1/18/2016,3.1,Half-Yearly,1/18/2016,3.1,113.87,92.05,107.21,96.96,110% +,090 - 095 %,100 - 110 %,095 - 098 %,BA/Bcom/BPharm,20,0,Non-Voice,Night,B,Two Wheeler,9.3,< 1 Hour,27,Employee Left,0,0,1,1,1,Voluntary,Job abandonment,Vivek.Goutham,R02304,R06159,10/12/1983,04:00PM-01:00AM,Prince Infocity,Chennai,Chennai,600028,Dindigul,624002,4/20/2015,4,AR Follow Up,McKesson,BRONX,1/5/2015,,,,,AJUBA,Red,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R00311,8/1/2011,3/22/2016,2016-03,57, Month 36-60,30,Male,UnMarried,04:00PM-01:00AM,NMR,Chennai,Team Member,Quality Analyst - Level 1,Lateral,Half-Yearly,1/19/2016,3.68,Half-Yearly,1/19/2016,3.68,119.19,99.98,115.7,99.38,110% +,098 - 100 %,110% +,098 - 100 %,BA/Bcom/BPharm,0,0,Voice,Night,B +,Cab,25.4,< 1 Hour,30,Employee Left,0,0,1,1,1,Voluntary,Personal Reasons,shruthi.pugazhenthi,R00320,R01456,2/18/1986,01:00PM-10:00PM(Night),NMR,Chennai,Chennai,600067,Chennai,600067,9/16/2014,15,AR Follow Up,IHSI,IHSI,1/2/2015,,,,,Ajuba Solutions,Red,QA,Accounts Receivable,Revenue Cycle Management,Operations
R00326,8/1/2011,,,64, Month 60 <,27,Male,UnMarried,06:30PM-03:30AM,NMR,Chennai,Team Leader,Team Leader,Lateral,Annually,7/14/2015,4.14,Annually,7/14/2015,4.14,108.92,99.41,115.14,100,100 - 110 %,098 - 100 %,110% +,098 - 100 %,BCA/BBA,0,0,Voice,Night,A,Cab,,,0,Current Employee,1,0,0,0,0,,,narmadadevi.venkatasatyanarayana,R00373,R09705,5/15/1989,04:00PM-01:00AM,HYD,Hyderabad,Chennai,600008,Chennai,600008,1/18/2016,,AR Follow Up,McKesson,JRMC,7/20/2016,AR,AR Follow Up,McKesson,UPA,OMEGA HEALLTHCARE,Green,TTL&Above,Accounts Receivable,Revenue Cycle Management,Operations
R00333,8/1/2011,,,64, Month 60 <,33,Male,Married,06:00PM-03:00AM,Elnet,Chennai,Team Leader,Team Leader,Lateral,Annually,7/28/2015,3.5,Annually,7/28/2015,3.5,41.59,98,33.33,98,< 80%,095 - 098 %,< 80%,095 - 098 %,BCA/BBA,6,0,Voice,Night,B,Cab,,,0,Current Employee,1,0,0,0,0,,,dinesh.chandrasekaran,R02251,R08793,1/16/1983,04:00PM-01:00AM,Elnet,Chennai,Chennai,600020,Chennai,600020,10/7/2016,,AR Follow Up,Vanderbilt,Physicians,11/18/2015,AR,AR Follow Up,McKesson,NYU_Direct,,Green,TTL&Above,Accounts Receivable,Revenue Cycle Management,Operations
R00346,8/4/2011,,,64, Month 60 <,31,Female,UnMarried,06:00PM-03:00AM,Prince Infocity,Chennai,Desk Head / Team Co-ordinators,Trainee Team Leader,Lateral,Half-Yearly,1/18/2016,3.81,Half-Yearly,1/18/2016,3.81,125.77,99.91,126.17,99.79,110% +,098 - 100 %,110% +,098 - 100 %,MBA,0,0,Voice,Night,B,Cab,,,0,Current Employee,1,0,0,0,0,,,Gopinath.Thirumalazaghan,R00832,R09701,5/31/1985,06:30PM-03:30AM,,,Chennai,600033,Chennai,600033,11/15/2016,,AR Follow Up,Ensemble,Carepoint Hospitals,10/15/2015,AR,AR Follow Up,Ensemble,Carepoint Hospitals,Swathirekha B,Green,TTL&Above,Accounts Receivable,Revenue Cycle Management,Operations
R00368,8/18/2011,,,64, Month 60 <,29,Male,Married,06:00PM-03:00AM,Prince Infocity,Chennai,Team Member,Process Associate - Level 2,Lateral,Annually,7/19/2016,4.01,Annually,7/19/2016,4.01,108.4,99.92,111.81,99.99,100 - 110 %,098 - 100 %,110% +,098 - 100 %,MBA,1,0,Voice,Night,A,Cab,,,0,Current Employee,1,0,0,0,0,,,balasundaram.pattabiraman,R00512,R01697,6/20/1987,04:00PM-01:00AM,,,Chennai,600073,Chennai,600073,5/2/2016,,AR Follow Up,Currence,Currence,9/11/2013,,,,,E FOUR E BUSINESS SOLUTION,Amber,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R00371,8/18/2011,,,64, Month 60 <,27,Male,UnMarried,06:00PM-03:00AM,Prince Infocity,Chennai,Team Leader,Team Leader,Lateral,Annually,7/24/2015,4.03,Annually,7/24/2015,4.03,66.67,98.67,100,98.33,< 80%,098 - 100 %,095 - 100 %,098 - 100 %,HSC,2,0,Voice,Night,A,Two Wheeler,,,0,Current Employee,1,0,0,0,0,,,Peter.Anthony,R03405,R01697,4/24/1989,06:30PM-03:30AM,NMR,Chennai,Chennai,600097,Chennai,600097,4/27/2015,,AR Follow Up,McKesson,NYU,9/10/2014,AR,AR Follow Up,McKesson,NYU,OMEGA,Green,TTL&Above,Accounts Receivable,Revenue Cycle Management,Operations
R00387,8/22/2011,,,64, Month 60 <,30,Male,UnMarried,08:00AM-05:00PM,Prince Infocity,Chennai,Team Member,Process Associate - Level 2,Lateral,Annually,7/19/2016,4.08,Annually,7/19/2016,4.08,101.65,99.41,111.48,99.98,100 - 110 %,098 - 100 %,110% +,098 - 100 %,BSc,1,23,Non-Voice,Day,A,Bus,,,0,Current Employee,1,0,0,0,0,,,gnanasekaran.srinivasan,R00218,R00542,10/4/1986,,NMR,Chennai,Chennai,600081,Chennai,600081,8/21/2015,,AR Follow Up,RTI,RTI,6/29/2016,AR,AR Follow Up,Rural Metro,Rural Metro,INDIA HEALTHCARE SOLUTIONS PVT LTD,Green,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R00388,8/22/2011,,,64, Month 60 <,34,Male,Married,08:00AM-05:00PM,Prince Infocity,Chennai,Team Member,Process Associate - Level 2,Lateral,Annually,7/18/2016,3.16,Annually,7/18/2016,3.16,94.08,98.09,97.63,97.78,080 - 095 %,098 - 100 %,095 - 100 %,095 - 098 %,BA/Bcom/BPharm,1,44,Non-Voice,Day,B,Two Wheeler,,,0,Current Employee,1,0,0,0,0,,,Praveen.Gokul,R05526,R00404,6/1/1982,,Prince Infocity,Chennai,Chennai,600032,Tiruchirappalli,621216,3/24/2016,,AR Follow Up,EMS,EMS,11/30/2015,Billing / Transmission,Pre-Coding,EMS,EMS,OMEGA HEALTHCARE,Green,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R00390,8/22/2011,,,64, Month 60 <,36,Male,Married,06:00PM-03:00AM,Prince Infocity,Chennai,Team Member,Process Associate - Level 2,Lateral,Annually,7/12/2016,4.01,Annually,7/12/2016,4.01,103.09,97.87,104.31,100,100 - 110 %,095 - 098 %,100 - 110 %,098 - 100 %,NA,2,0,Non-Voice,Night,A,Cab,,,0,Current Employee,1,0,0,0,0,,,MohammedMaqdoom.Ishaq,R01146,R00411,12/5/1980,06:30AM-03:30PM,Elnet,Chennai,Chennai,600090,Vellore,604301,8/22/2016,,AR Follow Up,HPP,HPP,9/12/2016,Billing / Transmission,Transmission,SG,SG,Omega Health care,Green,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R00410,8/25/2011,,,63, Month 60 <,28,Female,Married,06:30AM-03:30PM,Prince Infocity,Chennai,Team Member,Process Associate - Level 2,Lateral,Annually,7/21/2016,4,Annually,7/21/2016,4,99.78,99.54,101.88,99.92,095 - 100 %,098 - 100 %,100 - 110 %,098 - 100 %,BSc,1,16,Non-Voice,Day,A,Two Wheeler,,,0,Current Employee,1,0,0,0,0,,,Sasirekha.Kumar,R01203,R00463,6/15/1988,08:00AM-05:00PM,Prince Infocity,Chennai,Chennai,600091,Chennai,600091,6/28/2016,,AR Follow Up,SG,Edits,5/15/2015,AR,AR Follow Up,LCA,LCA,Ajuba,Green,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R00440,9/6/2011,,,63, Month 60 <,29,Male,Married,06:00PM-03:00AM,Elnet,Chennai,Team Member,Process Associate - Level 2,Lateral,Annually,7/18/2016,3.96,Annually,7/18/2016,3.96,99.23,93.97,113.04,99,095 - 100 %,090 - 095 %,110% +,098 - 100 %,BSc,11,17,Voice,Night,B +,Cab,,,0,Current Employee,1,0,0,0,0,,,Gobinathan.Sundaram,R06771,R02251,1/20/1987,06:30PM-03:30AM,Prince Infocity,Chennai,Chennai,600072,Chennai,600072,7/25/2016,,AR Follow Up,Vanderbilt,Pre-Cert,2/22/2016,AR,AR Follow Up,Vanderbilt,Physicians,,Red,Notice Period,Accounts Receivable,Revenue Cycle Management,Operations
R00457,9/12/2011,,,63, Month 60 <,40,Male,Married,04:00PM-01:00AM,NMR,Chennai,Team Member,Process Associate - Level 2,Lateral,Annually,7/14/2016,4.14,Annually,7/14/2016,4.14,109.91,100,114.57,100,100 - 110 %,098 - 100 %,110% +,098 - 100 %,BA/Bcom/BPharm,2,0,Non-Voice,Night,A,Two Wheeler,,,0,Current Employee,1,0,0,0,0,,,Rajkumar.Iyyapan,R00595,R00373,11/17/1976,10:00AM-07:00PM,NMR,Chennai,Chennai,600012,Chennai,600012,5/26/2014,,AR Follow Up,McKesson,KERN,10/24/2013,,,,,Data Mark Prodapt Bpo,Green,FTE,Accounts Receivable,Revenue Cycle Management,Operations
