"EmployeeCode","ExperienceInAGS","EmployeeAge","Gender","MaritalStatus","WorkLocation","JobRole","ExperienceType","ProdAvgDuringNotice","QualAvgDuringNotice","Course","Last30DaysLeaveCount","TotalExtraHoursWorked","Function","Shift","TransportMode","EngagementIndex","Availability_Filter","Attrition","Available"
"R00682",57,28,"Male","Married","Chennai","Team Leader","Lateral",120.32,120.32,"BCA/BBA",0.5,0,"Non-Voice","06:30AM-03:30PM","Bus","Green","Current Employee",0,1
"R00683",57,34,"Female","Married","Chennai","Team Member","Lateral",116.75,116.75,"BA/Bcom/BPharm",4,19,"Non-Voice","08:00AM-05:00PM","Train","Green","Current Employee",0,1
"R00692",57,25,"Female","Married","Chennai","Team Member","Lateral",107.46,107.46,"BSc",1,7,"Non-Voice","06:30AM-03:30PM","Bus","Green","Current Employee",0,1
"R00698",39,25,"Male","UnMarried","Chennai","Team Member","Lateral",92.61,92.61,"Diploma",23,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R00699",55,28,"Male","UnMarried","Chennai","Team Leader","Lateral",99.33,99.33,"Diploma",6,0,"Voice","06:00PM-03:00AM","Cab","Red","Employee Left",1,0
"R00707",39,37,"Female","Married","Chennai","Team Leader","Lateral",119.33,119.33,"BA/Bcom/BPharm",21,0,"Non-Voice","01:00PM-10:00PM","Two Wheeler","Green","Employee Left",1,0
"R00714",56,35,"Female","Married","Chennai","Team Member","Lateral",106.16,106.16,"SSLC",2,0,"Non-Voice","08:00AM-05:00PM","Train","Green","Current Employee",0,1
"R00715",56,31,"Female","Married","Chennai","Team Member","Lateral",104.22,104.22,"BA/Bcom/BPharm",0,0,"Non-Voice","06:30AM-03:30PM","Bus","Green","Current Employee",0,1
"R00717",56,33,"Male","Married","Chennai","Team Member","Lateral",127.3,127.3,"BCA/BBA",2,21,"Non-Voice","11:00AM-08:00PM","Train","Green","Current Employee",0,1
"R00720",56,26,"Female","Married","Chennai","Team Member","Lateral",110.11,110.11,"MSc/Mpharm/MPhil",1.5,0,"Non-Voice","06:30AM-03:30PM","Train","Green","Current Employee",0,1
"R00721",56,26,"Female","UnMarried","Chennai","Team Member","Lateral",114.75,114.75,"BCA/BBA",17.5,25,"Non-Voice","06:30AM-03:30PM","Bus","Green","Current Employee",0,1
"R00797",54,26,"Female","Married","Chennai","Team Leader","Fresher",110.2,110.2,"BE/Btech",0,0,"Non-Voice","08:00AM-05:00PM","Bus","Green","Current Employee",0,1
"R00802",54,25,"Male","UnMarried","Chennai","Desk Head / Team Co-ordinators","Fresher",109.98,109.98,"BSc",1,74,"Non-Voice","05:30PM-02:30AM","Two Wheeler","Green","Current Employee",0,1
"R00815",54,26,"Female","Married","Chennai","Team Member","Fresher",115.59,115.59,"BCA/BBA",0,30,"Non-Voice","08:00AM-05:00PM","Bus","Green","Current Employee",0,1
"R00816",54,25,"Male","UnMarried","Chennai","Team Member","Fresher",104.01,104.01,"MBA",1,30,"Non-Voice","08:00AM-05:00PM","Two Wheeler","Green","Current Employee",0,1
"R00826",54,24,"Female","UnMarried","Chennai","Team Leader","Fresher",102.3,102.3,"BSc",2,0,"Non-Voice","10:00AM-07:00PM","Bus","Green","Current Employee",0,1
"R00828",35,24,"Female","UnMarried","Chennai","Team Member","Fresher",105.56,105.56,"BSc",1,8,"Non-Voice","08:00AM-05:00PM","Bus","Red","Employee Left",1,0
"R00829",54,24,"Female","UnMarried","Chennai","Team Member","Fresher",104.71,104.71,"BSc",1,9,"Non-Voice","01:00PM-10:00PM","Bus","Green","Current Employee",0,1
"R00832",54,24,"Male","UnMarried","Chennai","Team Leader","Fresher",104.63,104.63,"BCA/BBA",0,0,"Voice","06:00PM-03:00AM","Train","Green","Current Employee",0,1
"R00863",54,28,"Male","Married","Hyderabad","Team Leader","Lateral",110.79,110.79,"BCA/BBA",0,0,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R00874",38,27,"Female","UnMarried","Chennai","Team Leader","Lateral",107.37,107.37,"BE/Btech",2,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R00890",54,26,"Male","UnMarried","Chennai","Team Leader","Lateral",107.53,107.53,"BSc",1,0,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R00899",54,31,"Male","Married","Chennai","Team Member","Lateral",104.95,104.95,"MBA",3,0,"Voice","06:00PM-03:00AM","Two Wheeler","Green","Current Employee",0,1
"R00909",53,45,"Male","Married","Chennai","Team Member","Lateral",111.73,111.73,"MA/Mcom",1,0,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R00923",35,23,"Female","UnMarried","Chennai","Team Member","Fresher",94.8,94.8,"BCA/BBA",3,8,"Non-Voice","08:00AM-05:00PM","Bus","Red","Employee Left",1,0
"R00925",34,24,"Female","UnMarried","Chennai","Team Member","Fresher",102.07,102.07,"BA/Bcom/BPharm",2,8,"Non-Voice","08:00AM-05:00PM","Bus","Red","Employee Left",1,0
"R00931",35,24,"Male","UnMarried","Chennai","Team Member","Fresher",95.55,95.55,"BSc",4,8,"Non-Voice","08:00AM-05:00PM","Train","Red","Employee Left",1,0
"R00933",53,24,"Male","UnMarried","Chennai","Team Member","Fresher",99.8,99.8,"BSc",0,0,"Voice","06:00PM-03:00AM","Two Wheeler","Green","Current Employee",0,1
"R00941",53,25,"Male","UnMarried","Chennai","Team Leader","Fresher",126.76,126.76,"BCA/BBA",0,0,"Non-Voice","06:00PM-03:00AM","Two Wheeler","Green","Current Employee",0,1
"R00943",53,25,"Male","UnMarried","Chennai","Team Member","Fresher",105.87,105.87,"BCA/BBA",0,34,"Non-Voice","10:00AM-07:00PM","Two Wheeler","Green","Current Employee",0,1
"R00944",34,24,"Female","UnMarried","Chennai","Team Member","Fresher",115.88,115.88,"BCA/BBA",10,6,"Non-Voice","08:00AM-05:00PM","Bus","Green","Employee Left",1,0
"R00950",41,23,"Female","Married","Chennai","Team Member","Fresher",91.75,91.75,"BA/Bcom/BPharm",1,0,"Non-Voice","08:00AM-05:00PM","Bus","Red","Employee Left",1,0
"R00953",53,24,"Female","UnMarried","Chennai","Team Member","Fresher",107.3,107.3,"BSc",3,16,"Non-Voice","08:00AM-05:00PM","Bus","Green","Current Employee",0,1
"R00959",47,25,"Female","UnMarried","Vellore","Team Member","Fresher",108.84,108.84,"BSc",2,24,"Non-Voice","06:30AM-03:30PM","Bus","Amber","Employee Left",1,0
"R00960",35,23,"Female","Married","Chennai","Team Member","Fresher",72.81,72.81,"BA/Bcom/BPharm",22,0,"Non-Voice","08:00AM-05:00PM","Train","Red","Employee Left",1,0
"R00961",53,24,"Female","UnMarried","Chennai","Team Member","Fresher",113.3,113.3,"BA/Bcom/BPharm",3,0,"Non-Voice","01:00PM-10:00PM","Bus","Green","Current Employee",0,1
"R00962",35,24,"Female","UnMarried","Chennai","Team Member","Fresher",109.62,109.62,"BCA/BBA",2,8,"Non-Voice","08:00AM-05:00PM","Two Wheeler","Red","Employee Left",1,0
"R00983",53,30,"Male","UnMarried","Chennai","Team Leader","Lateral",96.46,96.46,"BE/Btech",2,0,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R00984",53,31,"Male","Married","Chennai","Team Member","Lateral",100.09,100.09,"BA/Bcom/BPharm",2,0,"Voice","01:00PM-10:00PM","Cab","Green","Current Employee",0,1
"R00987",52,32,"Female","Married","Chennai","Team Member","Lateral",101.48,101.48,"MSc/Mpharm/MPhil",20,0,"Non-Voice","01:00PM-10:00PM","Bus","Red","Employee Left",1,0
"R00990",53,31,"Male","Married","Chennai","Team Member","Lateral",95.18,95.18,"BSc",7,5,"Voice","04:00PM-01:00AM","Cab","Red","Current Employee",0,1
"R00991",53,27,"Female","Married","Chennai","Team Leader","Lateral",109.36,109.36,"MBA",2.5,0,"Voice","08:00AM-05:00PM","Cab","Green","Current Employee",0,1
"R00992",53,29,"Male","UnMarried","Chennai","Team Leader","Lateral",103.17,103.17,"BE/Btech",1,0,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R01050",53,26,"Male","UnMarried","Chennai","Team Member","Lateral",100.47,100.47,"BCA/BBA",0,0,"Non-Voice","06:00PM-03:00AM","Bus","Green","Current Employee",0,1
"R01054",53,26,"Male","UnMarried","Chennai","Team Member","Fresher",101.48,101.48,"BE/Btech",3,0,"Non-Voice","06:00PM-03:00AM","Train","Green","Current Employee",0,1
"R01062",53,43,"Male","Married","Chennai","Desk Head / Team Co-ordinators","Lateral",140.75,140.75,"BA/Bcom/BPharm",1,0,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R01074",35,29,"Male","UnMarried","Chennai","Team Member","Lateral",88.07,88.07,"BCA/BBA",3,0,"Voice","01:00PM-10:00PM","Two Wheeler","Green","Employee Left",1,0
"R01080",43,30,"Male","UnMarried","Chennai","Team Leader","Lateral",99.49,99.49,"BA/Bcom/BPharm",21,0,"Voice","04:00PM-01:00AM","Cab","Green","Employee Left",1,0
"R01088",40,28,"Male","UnMarried","Chennai","Team Member","Lateral",109.98,109.98,"BA/Bcom/BPharm",0,0,"Voice","01:00PM-10:00PM","Cab","Red","Employee Left",1,0
"R01092",32,35,"Male","Married","Chennai","Team Member","Lateral",95.9,95.9,"BE/Btech",1,8,"Voice","01:00PM-10:00PM","Two Wheeler","Red","Employee Left",1,0
"R01098",52,35,"Male","Married","Chennai","Team Member","Lateral",102.63,102.63,"MCA",3,17,"Voice","08:00AM-05:00PM","Two Wheeler","Green","Current Employee",0,1
"R01099",36,30,"Male","UnMarried","Chennai","Team Leader","Lateral",114.24,114.24,"Diploma",0,0,"Voice","01:00PM-10:00PM","Cab","Red","Employee Left",1,0
"R01115",29,40,"Male","Married","Chennai","Team Member","Lateral",114.63,114.63,"BA/Bcom/BPharm",1,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R01130",37,23,"Female","UnMarried","Chennai","Team Member","Fresher",95.23,95.23,"BSc",5,15,"Non-Voice","08:00AM-05:00PM","Bus","Red","Employee Left",1,0
"R01132",52,24,"Female","UnMarried","Chennai","Team Member","Fresher",102.09,102.09,"BCA/BBA",4,29,"Non-Voice","08:00AM-05:00PM","Bus","Green","Current Employee",0,1
"R01135",52,25,"Male","Married","Chennai","Team Member","Fresher",111.21,111.21,"BCA/BBA",1,86,"Non-Voice","08:00AM-05:00PM","Bus","Green","Current Employee",0,1
"R01137",31,24,"Female","UnMarried","Chennai","Team Member","Fresher",87.52,87.52,"BA/Bcom/BPharm",3,7,"Non-Voice","08:00AM-05:00PM","Bus","Red","Employee Left",1,0
"R01140",52,27,"Male","Married","Chennai","Team Member","Fresher",134.8,134.8,"BA/Bcom/BPharm",6,1,"Non-Voice","01:00PM-10:00PM","Bus","Green","Current Employee",0,1
"R01143",52,24,"Female","UnMarried","Chennai","Team Member","Fresher",103.38,103.38,"BSc",1,33,"Non-Voice","08:00PM-05:00AM","Two Wheeler","Green","Current Employee",0,1
"R01146",52,24,"Male","UnMarried","Chennai","Team Leader","Fresher",108.98,108.98,"MBA",0,0,"Non-Voice","04:00PM-01:00AM","Train","Green","Current Employee",0,1
"R01148",51,25,"Male","Married","Chennai","Team Member","Lateral",106.34,106.34,"BSc",5,0,"Non-Voice","06:00PM-03:00AM","Two Wheeler","Amber","Employee Left",1,0
"R01154",51,28,"Male","Married","Chennai","Team Member","Lateral",121.07,121.07,"BSc",9,16,"Non-Voice","10:00AM-07:00PM","Bus","Green","Current Employee",0,1
"R01158",51,37,"Male","Married","Chennai","Team Member","Lateral",89.38,89.38,"BSc",3.5,16,"Voice","08:00AM-05:00PM","Cab","Amber","Employee Left",1,0
"R01202",51,27,"Male","UnMarried","Chennai","Team Member","Lateral",115.45,115.45,"BE/Btech",4,0,"Voice","08:00AM-05:00PM","Train","Green","Current Employee",0,1
"R01227",51,27,"Male","UnMarried","Chennai","Team Member","Lateral",104.93,104.93,"BCA/BBA",1,0,"Voice","08:00AM-05:00PM","Two Wheeler","Green","Current Employee",0,1
"R01249",33,31,"Male","UnMarried","Chennai","Team Member","Lateral",132.67,132.67,"HSC",16,1,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R01269",29,23,"Male","UnMarried","Chennai","Team Member","Fresher",97.01,97.01,"BSc",3,24,"Non-Voice","08:00AM-05:00PM","Two Wheeler","Red","Employee Left",1,0
"R01271",50,24,"Male","UnMarried","Chennai","Team Member","Fresher",84.22,84.22,"BA/Bcom/BPharm",1,17,"Non-Voice","08:00AM-05:00PM","Train","Green","Current Employee",0,1
"R01272",32,25,"Male","UnMarried","Chennai","Team Member","Fresher",117.49,117.49,"BA/Bcom/BPharm",0,8,"Non-Voice","08:00AM-05:00PM","Train","Red","Employee Left",1,0
"R01274",50,25,"Male","UnMarried","Chennai","Team Member","Fresher",111.61,111.61,"BE/Btech",0,32,"Non-Voice","08:00AM-05:00PM","Bus","Green","Current Employee",0,1
"R01275",43,25,"Female","UnMarried","Chennai","Team Member","Fresher",96.32,96.32,"BSc",21,0,"Non-Voice","08:00AM-05:00PM","Train","Red","Employee Left",1,0
"R01277",50,24,"Female","UnMarried","Chennai","Team Member","Fresher",102.46,102.46,"BCA/BBA",1,16,"Non-Voice","06:30AM-03:30PM","Bus","Green","Current Employee",0,1
"R01280",50,24,"Male","UnMarried","Chennai","Team Member","Fresher",100.07,100.07,"BCA/BBA",0,49,"Non-Voice","08:00AM-05:00PM","Bus","Green","Current Employee",0,1
"R01284",45,24,"Female","UnMarried","Chennai","Team Member","Fresher",105.21,105.21,"BSc",0,12,"Non-Voice","06:30AM-03:30PM","Train","Red","Employee Left",1,0
"R01287",32,24,"Female","UnMarried","Chennai","Team Member","Fresher",94.07,94.07,"BSc",2,8,"Non-Voice","08:00AM-05:00PM","Bus","Red","Employee Left",1,0
"R01318",28,29,"Male","UnMarried","Chennai","Team Member","Lateral",111.14,111.14,"BCA/BBA",3.5,14,"Voice","06:30PM-03:30AM","Cab","Red","Employee Left",1,0
"R01331",50,29,"Male","Married","Chennai","Team Member","Lateral",122.42,122.42,"Diploma",1,0,"Non-Voice","06:30AM-03:30PM","Train","Green","Current Employee",0,1
"R01352",50,37,"Male","Married","Chennai","Team Member","Lateral",124.33,124.33,"HSC",21,0,"Voice","06:00PM-03:00AM","Cab","Amber","Current Employee",0,1
"R01353",50,25,"Male","UnMarried","Chennai","Desk Head / Team Co-ordinators","Lateral",131.7,131.7,"Diploma",0,43,"Voice","06:00PM-03:00AM","Two Wheeler","Amber","Current Employee",0,1
"R01360",28,23,"Male","UnMarried","Chennai","Team Member","Fresher",105.07,105.07,"BCA/BBA",4,16,"Non-Voice","08:00AM-05:00PM","Bus","Red","Employee Left",1,0
"R01362",50,24,"Male","UnMarried","Chennai","Team Member","Fresher",95.7,95.7,"BSc",3,0,"Non-Voice","01:00PM-10:00PM","Bus","Green","Current Employee",0,1
"R01366",50,26,"Male","UnMarried","Chennai","Desk Head / Team Co-ordinators","Fresher",75,75,"MSc/Mpharm/MPhil",1,0,"Non-Voice","06:00PM-03:00AM","Bus","Green","Current Employee",0,1
"R01369",43,25,"Female","Married","Chennai","Team Member","Fresher",111.38,111.38,"BSc",10,0,"Non-Voice","08:00AM-05:00PM","Bus","Red","Employee Left",1,0
"R01372",27,33,"Male","Married","Chennai","Desk Head / Team Co-ordinators","Lateral",107.64,107.64,"HSC",3,0,"Voice","06:30PM-03:30AM","Cab","Green","Employee Left",1,0
"R01379",50,27,"Male","UnMarried","Chennai","Team Member","Lateral",103.37,103.37,"BCA/BBA",2,0,"Voice","01:00PM-10:00PM","Cab","Green","Current Employee",0,1
"R01380",50,27,"Male","Married","Chennai","Team Member","Lateral",108.09,108.09,"BSc",9,6,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R01387",50,29,"Female","Married","Chennai","Team Member","Lateral",110.36,110.36,"BA/Bcom/BPharm",0.5,16,"Non-Voice","06:30AM-03:30PM","Bus","Green","Current Employee",0,1
"R01389",50,27,"Male","UnMarried","Chennai","Team Member","Lateral",110.29,110.29,"BCA/BBA",3,17,"Non-Voice","06:00PM-03:00AM","Train","Green","Current Employee",0,1
"R01391",50,28,"Male","Married","Chennai","Team Leader","Lateral",107.57,107.57,"BE/Btech",0,0,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R01397",50,29,"Male","Married","Chennai","Team Leader","Lateral",103.5,103.5,"BCA/BBA",0,0,"Voice","04:00PM-01:00AM","Four Wheeler","Green","Current Employee",0,1
"R01403",50,25,"Female","UnMarried","Chennai","Team Member","Lateral",111.5,111.5,"BCA/BBA",0,29,"Non-Voice","08:00AM-05:00PM","Train","Green","Current Employee",0,1
"R01404",30,26,"Male","UnMarried","Chennai","Team Member","Lateral",117.55,117.55,"BA/Bcom/BPharm",2,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
